product_id,product_name,product_quantity,product_price,date_updated,brand_id
1,Bagel - Whole White Sesame,97,430,1,2018-11-01
2,Sauce - Caesar Dressing,81,805,2,2018-12-28
3,Shiratamako - Rice Flour,71,799,3,2018-03-07
4,Tart - Raisin And Pecan,86,106,4,2019-01-18
5,Radish,22,247,5,2018-11-06
6,Juice - V8 Splash,67,125,6,2018-01-10
7,Red Currants,49,677,5,2018-10-01
8,Soup - Base Broth Beef,62,544,7,2019-03-09
9,Tomatoes Tear Drop Yellow,73,64,5,2019-02-09
10,Mussels - Cultivated,24,934,5,2018-07-31
11,"Bread - Crumbs, Bulk",88,449,8,2019-01-12
12,"Beans - Long, Chinese",47,473,9,2018-09-22
13,"Beans - Navy, Dry",44,459,9,2018-01-20
14,"Basil - Dry, Rubbed",21,869,5,2018-02-04
15,Apple - Granny Smith,72,505,5,2018-01-12
16,"Lid - High Heat, Super Clear",5,123,10,2018-02-09
17,Oranges - Navel,46,478,5,2018-06-06
18,Berry Brulee,50,759,5,2018-08-25
19,Lobster - Canned Premium,57,761,5,2018-04-15
20,Ham - Procutinni,8,570,5,2019-01-09
21,Veal - Ground,5,767,5,2018-12-19
22,Oil - Cooking Spray,6,420,11,2018-06-11
23,"Extract - Vanilla,artificial",20,291,12,2018-06-08
24,"Mushroom - Porcini, Dry",71,814,5,2018-07-26
25,Wine - Cabernet Sauvignon,54,741,13,2018-03-10
26,lala,5,400,14,2022-12-05
27,lulu,2,444,15,2022-12-05
28,watch,2,99900,16,2022-12-05
29,feather,1,1,15,2022-12-05
